nom_barrage,apports_journaliers,id_barrage,lachers_journaliers,stock_actuel,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moyenne_mensuelle_apports,cumul_apports_annee_prec,moyenne_periode,stock_annee_prec,capacite_totale_actuelle,altitude_niveau_eau,capacite_totale_initiale,etat,annee_mise_en_service,Latitude,Longitude,Bassin_versant,Date,taux_remplissage,année,region
elhaouareb,0.0,21,0.0,1.09383,1.33155,7.05973,0.015985,0.028406,0.880421,0.197219,13.1807,0.00576132,77.47,217.0,0.0,1.0,1989,35.5727,9.7468,1120.0,2025-04-22,1.411940105847425,2025,Kairouan
sficifa,0.0,22,0.0,1.97461,0.300989,0.919438,0.0,0.0,0.0109432,0.406271,1.18212,1.71246,7.71,677.8,4.24,1.0,2005,35.3413,9.0705,173.65,2025-04-22,25.611024643320363,2025,Kairouan
sidiach,0.0,23,0.0,0.0,0.0280088,0.407372,0.0,0.022,0.0245687,0.325249,1.4724,1.337,88.0,541.0,88.0,1.0,1997,34.7468,8.7476,1900.0,2025-04-22,0.0,2025,Kairouan
elbrek,0.00133933,24,0.0,0.07,0.0296822,1.36427,0.0,0.02,0.00478571,0.175372,2.02551,0.06,14.6,849.0,16.0,1.0,2002,35.4705,8.9677,293.0,2025-04-22,0.4794520547945206,2025,Nabeul
bezirk,0.000657557,25,0.0,2.8758,0.00847781,3.25115,0.0,0.042,0.385796,0.214226,4.59267,0.17304,5.01,54.62,6.5,1.0,1959,36.7195,10.6272,86.0,2025-04-22,57.40119760479042,2025,Kairouan
chiba,0.00183713,26,0.0,0.9918,0.0207991,1.18315,0.0,0.050184,0.40619,0.000385631,6.26557,0.000475792,3.79,77.88,7.8,1.0,1963,36.6973,10.772,64.0,2025-04-22,26.168865435356203,2025,Kairouan
masri,0.0,27,0.05,3.37929,0.0459905,3.73247,1.09,4.8117,0.400928,1.24067,4.17778,2.48053,5.068,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2025-04-22,66.67896606156275,2025,Kairouan
lebna,0.00589801,28,0.0,4.65508,0.0895256,5.6152,0.0,0.0,0.762047,0.465774,17.5229,0.590855,25.46,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2025-04-22,18.283896307934015,2025,Nabeul
hma,0.00250949,29,0.0,3.59999,0.0356302,4.07376,0.0,0.03504,0.060987,0.759769,4.36279,0.278994,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2025-04-22,28.00676832114517,2025,Nabeul
abid,0.00205502,30,0.0,4.14362,0.0341867,4.01404,0.0,0.0132,0.221428,0.284399,5.15406,0.786891,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2025-04-22,43.09537181487259,2025,Kairouan
mellegue,8.38369,1,3.53,26.2525,19.1406,56.4485,16.2347,41.9894,15.1831,8.09809,130.512,8.75485,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2025-04-21,51.34461177390964,2025,Kef
